gene1,gene2,interaction_type
METTL21EP,RNA5SP281,same_pathway
METTL21EP,JKAMPP1,coexpression
METTL21EP,CLDN17,same_pathway
METTL21EP,ZSWIM5P3,same_pathway
BMP2,MS4A3,coexpression
BMP2,CLMN,coexpression
BMP2,LINC00871,same_pathway
LINC00184,LINC00917,regulation
LINC00184,ST3GAL3-AS1,coexpression
LINC00184,STK32B,coexpression
LINC00184,OR5V1,regulation
LINC00708,FTH1P5,coexpression
LINC01725,SNORD27,coexpression
LINC01725,EPOP,coexpression
LINC01725,IGHV3-71,regulation
LINC01725,PRPF38AP1,coexpression
C17orf107,LINC02494,coexpression
C17orf107,APOC2,regulation
C17orf107,HLA-C,coexpression
C17orf107,DCAF4,regulation
C17orf107,RN7SL415P,regulation
CTAGE12P,SHANK2,same_pathway
CTAGE12P,PPIAP45,regulation
CTAGE12P,ST6GALNAC2P1,regulation
CTAGE12P,PLA2G10FP,regulation
TPCN1,TRPC6P8,regulation
TPCN1,NR3C2,coexpression
TPCN1,USP50,coexpression
TPCN1,MIR4431,coexpression
ASIP,CASP12,regulation
ASIP,TACR3,regulation
ASIP,EMB,same_pathway
ASIP,HMG20A,regulation
ASIP,RNA5SP30,same_pathway
KSR2,OTOGL,coexpression
KSR2,CEACAM19,coexpression
KSR2,DAG1,same_pathway
KSR2,MIX23P2,coexpression
SLC17A1,RN7SL271P,same_pathway
PPP2R3A,TRPV4,same_pathway
AKR7A3,BCKDK,regulation
YAP1,PDE9A,same_pathway
YAP1,RABGEF1P3,coexpression
YAP1,OPA3,same_pathway
YAP1,SEMA6D,same_pathway
YAP1,LHX6,coexpression
DOCK4,RNU6-699P,regulation
DOCK4,LINC01231,same_pathway
DOCK4,NECAP1P1,coexpression
ZNF585B,SLC25A6P5,same_pathway
MIX23P2,GDAP1L1,same_pathway
MIX23P2,TMEM94,regulation
MIX23P2,PHF21B,regulation
RPL23AP68,MSH2,regulation
GEMIN7-AS1,RNU6-21P,regulation
GEMIN7-AS1,CTNNBL1,regulation
GEMIN7-AS1,ZDHHC11B,same_pathway
GEMIN7-AS1,EPB42,same_pathway
GEMIN7-AS1,SAMMSON,regulation
PLEKHB2P1,CNGB1,same_pathway
PLEKHB2P1,PCDH11X,regulation
PLEKHB2P1,AQP4-AS1,same_pathway
PLEKHB2P1,RN7SKP122,coexpression
PLEKHB2P1,MACROD2,regulation
LINC02762,HNRNPKP3,regulation
LINC02762,DACH1,regulation
LINC02762,LINC02923,same_pathway
ARL6IP1P2,RNF125,coexpression
ARL6IP1P2,CSTPP1,same_pathway
ARL6IP1P2,DIRAS2,same_pathway
ARL6IP1P2,RPSAP47,coexpression
EGR2,LINC01605,coexpression
EGR2,RNU7-190P,coexpression
EGR2,GDI2P1,same_pathway
EGR2,TOMM40,regulation
RPL13AP7,SELP,regulation
RPL13AP7,CADM2,same_pathway
NFIX,LINC02360,coexpression
LINC01756,CEP63,same_pathway
LINC01756,SPG11,regulation
LINC01756,HSPA6,regulation
LINC01756,CIMAP3,regulation
LINC00355,SENP7,same_pathway
ERC2,PTPRN2,regulation
ERC2,RNF130,regulation
ERC2,CTNNBL1,coexpression
ERC2,ADAMTS20,same_pathway
IPPKP1,UNC5CL,regulation
IPPKP1,TGM6,coexpression
IPPKP1,RNU6-1069P,regulation
IPPKP1,DMXL1,same_pathway
LINC02532,NLGN4X,coexpression
LINC02532,ANKRD33BP2,same_pathway
LINC02532,CST6,same_pathway
NOP56P1,CR1,regulation
NOP56P1,ITSN2,regulation
RN7SL167P,LINC02388,same_pathway
RN7SL167P,ADARB2,coexpression
RN7SL167P,DLC1,coexpression
CCDC89,KCNJ3,coexpression
CCDC89,PVRIG2P,coexpression
CCDC89,LINC02113,coexpression
PRKG1,LINC02360,regulation
PRKG1,RNA5SP326,regulation
PRKG1,WAC,same_pathway
PRKG1,PDS5B,same_pathway
PRKG1,POLR2E,regulation
PRKG1,LINC01151,coexpression
PRKG1,SPATS1,regulation
SHARPIN,FLRT2,regulation
SHARPIN,CIMIP4,regulation
SHARPIN,LINC01104,regulation
RBCK1,RPS12P24,regulation
RBCK1,CIMIP4,regulation
RBCK1,ABCF3,same_pathway
RBCK1,NANOS2,regulation
BANK1,VDAC1P12,same_pathway
BANK1,PPIAP55,same_pathway
BANK1,ZSWIM5P3,regulation
ZFP3-DT,PTPRN2,coexpression
ZFP3-DT,NFU1P1,regulation
ZFP3-DT,SCIMP,coexpression
ZFP3-DT,ANKRD22,regulation
ZFP3-DT,MAST2,coexpression
ZFP3-DT,MRPL50P1,coexpression
ZFP3-DT,SSBP4,same_pathway
ZFP3-DT,IYD,regulation
ZFP3-DT,RPL21P47,same_pathway
ZFP3-DT,C1S,regulation
SNORA70,CPS1,same_pathway
SNORA70,BORCS7-ASMT,regulation
SNORA70,MAPKAPK5,same_pathway
FKBPL,ERC2,regulation
FKBPL,GAU1,coexpression
FKBPL,CTAGE3P,same_pathway
FKBPL,AGBL1,same_pathway
G3BP1,PDE7B-AS1,coexpression
G3BP1,ACE,regulation
LINC02151,RN7SKP141,regulation
LINC02151,CYCS,same_pathway
LINC02151,PRPF38AP1,same_pathway
LINC02151,ZNF112,regulation
NOC4L,SERPINE1,coexpression
NOC4L,LINC02438,coexpression
NOC4L,LINC02498,coexpression
NOC4L,RPSAP2,same_pathway
NOC4L,CRY2,same_pathway
ZNF334,FARP1,same_pathway
ZNF334,GJD4,regulation
ZNF334,FUNDC2P2,coexpression
CAPZA3,RNU6-67P,coexpression
CAPZA3,STC1,coexpression
MIR7702,TOMM40,same_pathway
MIR7702,LINC01800,regulation
MIR7702,TOP1,same_pathway
SEC11C,RLIG1P3,regulation
SEC11C,ERO1A,coexpression
SEC11C,PTPRN2,same_pathway
MIR29B2CHG,FKBP8,same_pathway
VWC2,RFPL4AP3,regulation
VWC2,SLC66A2P1,same_pathway
VWC2,EIF2S2P7,coexpression
VWC2,RDX,regulation
VWC2,ROR2,same_pathway
VWC2,DCHS2,same_pathway
VWC2,HTR1E,regulation
VWC2,CST13P,coexpression
VWC2,TMEM163,same_pathway
VWC2,NCR2,same_pathway
VWC2,GCNT7,regulation
VWC2,PLEKHA1,regulation
VWC2,PARVB,regulation
MMP3,CST13P,same_pathway
MMP3,KRT18P16,same_pathway
MMP3,SUMO2P2,same_pathway
LIPC,LINC00240,regulation
LIPC,CADPS,regulation
LIPC,TET2,regulation
EEF1A1P28,RUNX2,regulation
EEF1A1P28,CASC11,regulation
TSPAN14,LINC02986,regulation
TSPAN14,TRMT112P3,same_pathway
FLJ40194,CLNS1A,coexpression
RPSAP47,SEPTIN5,regulation
RPSAP47,RASSF8,regulation
RPSAP47,SLC28A1,regulation
RPSAP47,GRIN3B,same_pathway
RPSAP47,FENDRR,regulation
DAB1,RPL23AP28,regulation
DAB1,SEC61G-DT,coexpression
DAB1,SERPINE1,same_pathway
DAB1,BCL11A,coexpression
LINC02923,NANOS2,regulation
LINC02923,RN7SKP168,same_pathway
LINC02923,LINC03122,coexpression
LINC02923,ICA1,coexpression
LINC02923,ARFGEF3,coexpression
RPL5P26,FILNC1,coexpression
RPL5P26,SEC11C,same_pathway
RPL5P26,ITGB8,same_pathway
RPL5P26,RPL10P2,same_pathway
RPL5P26,LINC02057,coexpression
SATB2-AS1,DYNLRB2-AS1,regulation
SATB2-AS1,RPS23P10,regulation
SATB2-AS1,OR4A6P,regulation
SATB2-AS1,TST,same_pathway
SATB2-AS1,CDH19,same_pathway
LINC02715,CYCSP30,same_pathway
LINC02715,PSD3,coexpression
LINC02715,BORCS5,regulation
EEF1A1P27,MMP3,regulation
EEF1A1P27,LINC01122,same_pathway
EEF1A1P27,PLCG2,same_pathway
MDFIC,ACTG1P22,same_pathway
MDFIC,PLA2G10FP,regulation
MDFIC,LINC01016,same_pathway
MDFIC,SCAPER,coexpression
MDFIC,OR4R2P,regulation
BAALC-AS1,RBM5,regulation
ATP5F1C,PPP1R3B-DT,coexpression
ATP5F1C,TNIP1,same_pathway
ATP5F1C,PID1,same_pathway
ATP5F1C,BANK1,same_pathway
ATP5F1C,ATP6V0E2,coexpression
ATP5F1C,H3C12,coexpression
ATP5F1C,NYAP2,coexpression
ATP5F1C,EPHA4,same_pathway
ATP5F1C,SPRY2,same_pathway
ATP5F1C,TIMP2,regulation
ATP5F1C,LINC00624,coexpression
ATP5F1C,CST2P1,same_pathway
ATP5F1C,ETS1,same_pathway
RNU6-546P,MAPRE1P2,regulation
RNU6-546P,RPS12P24,regulation
RNU6-546P,RNU2-9P,coexpression
RNU6-546P,F2R,coexpression
RNU6-546P,MEF2C-AS1,regulation
TENM2,ICA1,same_pathway
TENM2,RNU6-1060P,regulation
TENM2,ATP7B,same_pathway
NKAIN2,IQUB,regulation
NKAIN2,ZNF45-AS1,coexpression
SLC44A5,LINC02512,same_pathway
SLC44A5,PCSEAT,same_pathway
SLC44A5,SEMA6A-AS2,same_pathway
PPP1R42,STC1,same_pathway
PPP1R42,HTR1A,regulation
PPP1R42,OR7E109P,same_pathway
PPP1R42,RPL32P25,coexpression
PPP1R42,PPP2R3A,coexpression
RNA5SP189,ENPP7P11,same_pathway
RNA5SP189,LINC03041,same_pathway
RNA5SP189,RNU6-909P,coexpression
RNA5SP189,STEAP3-AS1,coexpression
RNA5SP189,RNU6-718P,same_pathway
ANKRD22,LINC01567,coexpression
ANKRD22,TREM2,coexpression
ANKRD22,IRX1,coexpression
ANKRD22,PRSS16,coexpression
ANKRD22,LIPG,regulation
ANKH,MYO15A,coexpression
ANKH,RNF125,same_pathway
CYLC2,CLMN,regulation
CYLC2,KRT18P64,same_pathway
CADM2,RBM20,same_pathway
CADM2,PGPEP1,regulation
CADM2,RPL7L1P20,same_pathway
CADM2,C8orf44-SGK3,regulation
CADM2,WT1,coexpression
CADM2,BLOC1S3,regulation
CADM2,ZFTRAF1,same_pathway
CADM2,TACC2,same_pathway
CADPS2,MTMR3,coexpression
CADPS2,MAST2,coexpression
CADPS2,TST,same_pathway
CADPS2,RPL36AP40,same_pathway
ITPKB,LY75-CD302,regulation
ITPKB,ITSN2,regulation
ARHGAP24,CCZ1B,same_pathway
ARHGAP24,ZFPM2,same_pathway
ARHGAP24,LPXN,same_pathway
SLC9A7,TOP1,same_pathway
SLC9A7,MTM1,coexpression
PDE9A,RPL23AP28,same_pathway
PDE9A,NKAIN2,regulation
SEC24B-AS1,EML6,coexpression
SEC24B-AS1,LINC02494,same_pathway
SEC24B-AS1,CD2AP,regulation
SEC24B-AS1,ADAMTS18,same_pathway
SEC24B-AS1,OR7E10P,coexpression
RPL31P13,TSHZ2,coexpression
RPL31P13,HSPA6,regulation
RPL31P13,OR5K2,same_pathway
RANP7,ZFPM2,same_pathway
RANP7,GTF2H3,regulation
RANP7,WDR70,coexpression
RANP7,NCKAP5,regulation
SALL1,SPI1,same_pathway
SALL1,ATP2B1-AS1,same_pathway
SALL1,LRIG1,coexpression
OR4A44P,SLC66A2P1,regulation
OR4A44P,CBLC,regulation
OR4A44P,WDR41,coexpression
OR4A44P,CIR1P1,coexpression
OR4A44P,RPL8P1,regulation
SVIL,FILNC1,same_pathway
SVIL,TNRC6C,same_pathway
SVIL,MTCO3P1,coexpression
SVIL,CLXN,coexpression
NR3C2,LINC02770,coexpression
NR3C2,MIR7154,regulation
NR3C2,CHST1,coexpression
RNU6-1213P,RNU4ATAC8P,same_pathway
MARK4,VWA5B1,same_pathway
MARK4,ADAMTS4,regulation
MARK4,HMGA2,coexpression
UTS2B,LINC02946,coexpression
UTS2B,ANKRD33BP2,coexpression
UTS2B,AKAP8P1,same_pathway
UTS2B,APBA1,coexpression
UTS2B,TLN2,coexpression
SYBU,EDIL3-DT,same_pathway
SYBU,SLC39A8,same_pathway
SYBU,DENND4A,coexpression
SYBU,TNFSF12-TNFSF13,same_pathway
SYBU,TRMT112P3,coexpression
SYBU,SERPINE1,same_pathway
SYBU,PCED1B,regulation
SYBU,COL4A4,regulation
SYBU,LY75-CD302,coexpression
SYBU,MAP4K4,coexpression
SYBU,MTCYBP27,coexpression
SYBU,NELFA,same_pathway
PMAIP1,TMCC3,same_pathway
PMAIP1,MAILR,same_pathway
PMAIP1,PRKG1,same_pathway
SDR9C7,MEF2C-AS1,coexpression
SDR9C7,EGFLAM,coexpression
RPL34P19,SUGT1,same_pathway
CCT3,LINC02508,regulation
CCT3,B4GALNT2,coexpression
CNTNAP2,CLXN,regulation
CNTNAP2,RNU4ATAC8P,coexpression
CNTNAP2,LINC02508,coexpression
CNTNAP2,RPL7AP36,regulation
CNTNAP2,MINDY2-DT,same_pathway
HECW1,LINC02370,same_pathway
HECW1,CASC8,coexpression
SLC66A2P1,CD24,same_pathway
SLC66A2P1,RPS18P6,regulation
CHRNA2,MTND3P4,regulation
CHRNA2,MEF2C-AS1,regulation
CHRNA2,HSPA8P9,same_pathway
CHRNA2,LINC02532,same_pathway
PSMC6,ZNF652-AS1,coexpression
PSMC6,LIMS2,same_pathway
PSMC6,TENM2,regulation
PSMC6,LINC01877,same_pathway
TMEM244,RPL21P32,regulation
TMEM244,RPL12P40,regulation
TMEM244,GTF2IP11,same_pathway
ARIH2,PRSS36,coexpression
TMCC1-DT,BCL10-AS1,coexpression
TMCC1-DT,RNF125,same_pathway
TMCC1-DT,LINC01994,coexpression
TMCC1-DT,U6,regulation
LINC01470,ACTG1P22,same_pathway
LINC01470,RPL31P31,coexpression
LINC01470,RN7SL782P,coexpression
PPP1R2P5,PSD3,coexpression
PPP1R2P5,RAB20,same_pathway
LARP4,MRPS36P2,regulation
CENPP,UMAD1,regulation
CENPP,MIR670HG,regulation
CEACAM16,STEAP3-AS1,same_pathway
CEACAM16,OR4S1,same_pathway
CEACAM16,SUGT1,same_pathway
LCP1,CENPE,coexpression
LCP1,RPL21P119,regulation
LCP1,IGSF23,same_pathway
MIR4431,CHST1,coexpression
MIR4431,RCC2P7,same_pathway
MIR4431,SPATS1,coexpression
MIR4431,PUS1,coexpression
RARB,MTATP6P21,coexpression
RARB,TREML2,coexpression
FOXP2,CD2AP-DT,regulation
FOXP2,ZNF652-AS1,regulation
FOXP2,MEGF10,coexpression
FOXP2,RASIP1,regulation
FOXP2,LCP1,same_pathway
FOXP2,FAT1,coexpression
FOXP2,MTARC2P1,regulation
FOXP2,PCDHGA3,coexpression
FOXP2,PLK2,coexpression
FOXP2,LINC02006,same_pathway
FOXP2,MTCYBP27,same_pathway
KLHDC1,ZNF230,regulation
ID2-AS1,TMC5,regulation
ID2-AS1,STK24,regulation
ID2-AS1,GABRG3,coexpression
LINC02695,LINC00648,same_pathway
LINC02695,BLTP3A,coexpression
LINC02695,PLEKHM1,regulation
LINC02695,MC3R,regulation
LINC02695,CTNNA2,same_pathway
MME,MIR572,same_pathway
MME,CST6,regulation
TMCC3,ACER3,coexpression
TMCC3,VAV3-AS1,regulation
TMCC3,LINC00240,coexpression
TMCC3,MDM4,coexpression
RPL23AP44,KCNN3,regulation
AFF1,COL12A1,same_pathway
AFF1,OPA3,same_pathway
AFF1,RPL29P13,regulation
MVK,F2R,coexpression
MVK,COX5A,same_pathway
TBXAS1,HLA-DRB9,coexpression
TBXAS1,RNU6-261P,same_pathway
TBXAS1,PLPPR5-AS1,regulation
TBXAS1,CCDC85B,regulation
TBXAS1,FAM157D,same_pathway
LHX6,CCZ1B,regulation
LHX6,TOMM40,coexpression
RCN2,TMCC1-DT,coexpression
BCL11A,PITX3,coexpression
LINC02214,RNU7-65P,coexpression
LINC02214,OR7E39P,regulation
LINC02214,SDR9C7,same_pathway
LINC02214,FBXO11,same_pathway
LINC02214,EPB42,same_pathway
MAP4,TULP4,same_pathway
MAP4,CTNNA3,coexpression
MAP4,MIR4268,coexpression
RAB3D,RN7SKP159,regulation
RAB3D,ULK4,coexpression
RAB3D,PAK2,coexpression
RAB3D,FOXP4-AS1,regulation
SERINC5,SH3RF1,regulation
SERINC5,ADAMTS20,coexpression
SERINC5,SNRPGP16,coexpression
SERPINE1,TCF15,same_pathway
BMPR1AP2,APP,regulation
BMPR1AP2,GRM7-AS3,coexpression
BMPR1AP2,CD2AP-DT,coexpression
BMPR1AP2,SMC4P1,coexpression
SCAPER,RNU2-9P,same_pathway
SCAPER,FHOD3,coexpression
SCAPER,MKX,same_pathway
RNF6,PMS2CL,regulation
RNF6,MC3R,same_pathway
RNF6,AFF4-DT,regulation
RNF6,EPHA1,coexpression
LINC01960,TPCN1,regulation
LINC01960,PPP4R3A,regulation
NDUFS5P4,SEM1,regulation
SLC39A8,AFF4-DT,coexpression
SLC39A8,TACC2,coexpression
SPSB1,ZNF285BP,same_pathway
SPSB1,MAPK7,regulation
SPSB1,LINC02103,regulation
MEIOSIN,HMGN1P11,regulation
MEIOSIN,NANOS2,same_pathway
RPL34P29,CTNNBL1,regulation
CDC42EP3,CYYR1-AS1,coexpression
CDC42EP3,LINC01080,coexpression
CDC42EP3,MKLN1,same_pathway
CDC42EP3,IP6K1,same_pathway
MGC27382,CFAP20DC,same_pathway
MGC27382,EFHB,coexpression
MGC27382,ACTR3C,regulation
MGC27382,LINC01099,regulation
MGC27382,SLC26A1,regulation
MGC27382,ELOVL7,same_pathway
MGC27382,PPIAP79,coexpression
MGC27382,LINC01776,coexpression
MGC27382,HSPA5P1,coexpression
SEMA3C,PPIAP59,same_pathway
LINC01801,SERINC5,regulation
LINC01801,PUM3,coexpression
GOLPH3L,LINC01776,regulation
GOLPH3L,SYT16,same_pathway
GOLPH3L,NXN,regulation
GOLPH3L,CISD1P1,same_pathway
GOLPH3L,RPS26P8,coexpression
GOLPH3L,EFHB,same_pathway
GOLPH3L,DSTNP5,same_pathway
LINC01539,HNRNPKP3,coexpression
LINC01539,RAB20,regulation
C8orf44-SGK3,LINC02268,coexpression
C8orf44-SGK3,ST3GAL3-AS1,regulation
C8orf44-SGK3,COL6A3,coexpression
C8orf44-SGK3,FMN2,regulation
C8orf44-SGK3,LINC01924,coexpression
C8orf44-SGK3,L3MBTL4,coexpression
C8orf44-SGK3,LINC02438,coexpression
C8orf44-SGK3,GGACT,regulation
C8orf44-SGK3,PDXDC2P-NPIPB14P,same_pathway
C8orf44-SGK3,USP8,regulation
MARCKS,PROK2,regulation
TPTE2P3,IP6K2,coexpression
TPTE2P3,SUMO2P6,regulation
TPTE2P3,CCNY,regulation
MKX,KRT18P16,regulation
MKX,ALCAM,regulation
MKX,LINC02496,regulation
FAM95A,SUDS3,coexpression
FAM95A,OR4R2P,same_pathway
FAM95A,HMGB3P23,same_pathway
FAM95A,BCAS3,same_pathway
ABCA7,OR4R2P,regulation
ABCA7,DYNLRB2-AS1,coexpression
LINC02518,RN7SKP120,regulation
RPL10AP3,RN7SKP168,coexpression
RPL10AP3,SPPL2C,regulation
RPL10AP3,ANXA10,coexpression
RPL10AP3,MICAL2,same_pathway
LRRC2P1,RDH10-AS1,same_pathway
LRRC2P1,KDM4B,coexpression
LRRC2P1,JAZF1,regulation
LRRC2P1,MOB3B,coexpression
LRRC2P1,GRK5,coexpression
MOG,TRIP4,regulation
MOG,SSBP4,coexpression
MOG,CTSH,coexpression
GFPT1,THEM7P,coexpression
GFPT1,DCAF7,coexpression
GFPT1,PPID,same_pathway
PFKP-DT,CISD1,same_pathway
PFKP-DT,CYLC2,same_pathway
PFKP-DT,SMYD2,coexpression
PFKP-DT,LINC01428,regulation
PFKP-DT,CHSY3,same_pathway
BLTP3A,DLX5,same_pathway
BLTP3A,SMC4P1,coexpression
BLTP3A,PMAIP1,coexpression
BLTP3A,PRPF38AP1,regulation
BLTP3A,SYBU,regulation
LINC01916,MICAL2,regulation
LINC01916,EN2-DT,same_pathway
LINC01916,CKAP5,same_pathway
LINC01916,LINC02210,same_pathway
GRIN2B,R3HDM2P2,same_pathway
GRIN2B,CD72,same_pathway
GRIN2B,JAKMIP3,same_pathway
GRIN2B,OR7E59P,regulation
GRIN2B,LINC02623,same_pathway
KCNN3,RNU7-149P,coexpression
ZP3P2,PARP11-AS1,regulation
ZP3P2,LINC02114,regulation
ZP3P2,FRMD5,regulation
ZP3P2,BMP1,coexpression
ZP3P2,SNORD28B,same_pathway
ZP3P2,TUBAP15,regulation
ZP3P2,OR4C50P,coexpression
DNAH6,RNU6-560P,same_pathway
DNAH6,CLEC3B,coexpression
DNAH6,CLASRP,coexpression
LINC02101,LINC02273,coexpression
LINC02101,UBE2QL1,regulation
LINC02101,ITGB8,same_pathway
LINC02101,RBMX2P4,coexpression
STC1,SQSTM1,regulation
STC1,OSTN,regulation
CUX2,CENPP,regulation
CUX2,SELP,coexpression
CUX2,RAB3D,regulation
CUX2,TULP4,same_pathway
MID1,MICALL2,coexpression
MID1,RNA5SP261,same_pathway
MID1,PKNOX2,regulation
MID1,PPIL2,coexpression
RN7SL636P,DIRAS2,same_pathway
RAPGEF2,SREBF1,regulation
MIR7154,MTMR14,regulation
MIR7154,FMN2,regulation
MIR7154,CDIPTOSP,regulation
MIR7154,MACIR,regulation
GRIK3,DENND6A-DT,same_pathway
GRIK3,GAPDHP41,same_pathway
GRIK3,UBE2V2,same_pathway
EPIC1,CDCP1,regulation
EPIC1,RPS23P10,coexpression
EPIC1,RBMS3,same_pathway
FRMD5,RAC1,regulation
FRMD5,MIR1202,regulation
FRMD5,MC3R,same_pathway
FRMD5,LINC01647,regulation
LINC03070,NRXN1-DT,same_pathway
LINC03070,CALM3,coexpression
CDH13,PPIAP59,coexpression
CDH13,GDAP1L1,same_pathway
RPL13AP13,RPSAP74,coexpression
RPL13AP13,OVOL2,coexpression
RPL13AP13,SUGT1,same_pathway
RPL13AP13,RPS18P12,same_pathway
RPL13AP13,ALDH4A1,regulation
RMEL3,SYPL1,same_pathway
RMEL3,LINC02253,same_pathway
RMEL3,RPL13AP7,coexpression
RMEL3,LMX1A-AS1,regulation
SOD1P2,LPXN,regulation
SOD1P2,SHISA6,same_pathway
SOD1P2,ZNRF4,same_pathway
SOD1P2,GABBR1,same_pathway
SCIMP,ACER3,regulation
XIRP2,CELSR1,regulation
XIRP2,RAB21,regulation
XIRP2,LINC02942,regulation
XIRP2,ENPP7P11,coexpression
TRIB1AL,MIR7154,same_pathway
DLG2,STK3,same_pathway
DLG2,TFEB,same_pathway
DLG2,OR4S1,regulation
DLG2,RNU6-976P,regulation
SRBD1,PEX6,regulation
SRBD1,CHSY3,regulation
SRBD1,CASC8,same_pathway
RPL21P119,MTARC2P1,same_pathway
RN7SL504P,SORBS2,regulation
GDAP1L1,FAT1,same_pathway
PLCH1,EZRP1,same_pathway
PTPRN2,LINC02375,coexpression
PTPRN2,LIMS2,regulation
CLPTM1,RAC1P2,coexpression
CLPTM1,IDUA,coexpression
CLPTM1,SCAPER,same_pathway
CLPTM1,MYOZ2,same_pathway
SLC24A4,IGHV2-70,regulation
SLC24A4,RNU6-546P,same_pathway
SLC24A4,TRMT112P3,regulation
SLC24A4,RNU6-248P,coexpression
SLC24A4,NCOA5LP,same_pathway
MRC1,VWA5B1,coexpression
MRC1,LIPG,coexpression
MRC1,TSPAN14,coexpression
TPM3P3,RBBP4P4,regulation
RN7SL643P,ADAD2,regulation
RN7SL643P,LRFN2,coexpression
RN7SL643P,DVL2,regulation
HMGN4,DSTNP5,coexpression
HMGN4,LINC03006,same_pathway
HMGN4,CNN3-DT,regulation
HMGN4,ICOS,same_pathway
HMGN4,ADGRG4,same_pathway
OR4R2P,CSMD3,same_pathway
OR4R2P,HMGB1P45,coexpression
OR4R2P,IGHG3,regulation
RFC5P1,CHST10,same_pathway
RFC5P1,CKM,regulation
RFC5P1,OR8H1,same_pathway
RFC5P1,RNU6-679P,coexpression
RFC5P1,SORCS3,same_pathway
RFC5P1,RESF1,same_pathway
TXNDC16,ELOVL3,same_pathway
TXNDC16,FLJ40194,coexpression
TXNDC16,JCAD,same_pathway
TXNDC16,ZNF92,coexpression
UNC5CL,DIO2,regulation
UNC5CL,LAMB2,coexpression
UNC5CL,OVOL2,regulation
UNC5CL,ATXN1-AS1,same_pathway
UNC5CL,BZW2,coexpression
UNC5CL,FAM135B,regulation
UNC5CL,CUX2,same_pathway
UNC5CL,LINC02699,coexpression
UNC5CL,HNRNPCP7,coexpression
UNC5CL,MARK4,regulation
UNC5CL,HADHA,regulation
UNC5CL,RPL21P36,same_pathway
H3C12,LINC01756,coexpression
H3C12,H3C9P,regulation
H3C12,LINC01866,coexpression
H3C12,MIR2113,same_pathway
RPL7AP61,CHRNE,regulation
RPL7AP61,STAG3,coexpression
RPL7AP61,LINC00917,same_pathway
HIP1R,ERBB3,coexpression
HIP1R,RAB21,regulation
BNIP3P13,RPS17P11,same_pathway
BNIP3P13,MRPL50P1,regulation
BNIP3P13,CDON,regulation
BNIP3P13,IQGAP2,same_pathway
TMEM245,TMCC1-DT,coexpression
TMEM245,TUBAP15,regulation
TMEM245,RN7SKP207,regulation
TMEM245,DCC,coexpression
RNU6-1307P,RPL7AP81,regulation
RNU6-1307P,PKNOX2,regulation
RNU6-1307P,LINC02131,coexpression
RNU6-1307P,CISD1P1,regulation
KRT18P16,MIR4318,regulation
KRT18P16,ZAP70,coexpression
KRT18P16,PICALM,coexpression
KRT18P16,R3HDM2P2,regulation
DAPL1,RPS18P12,coexpression
DAPL1,RN7SL636P,same_pathway
LINC02942,INPP5D,coexpression
LINC02942,COX10-DT,coexpression
LINC02942,NMNAT1P2,coexpression
LINC02942,PPIAP17,regulation
LINC02942,RPL7P6,regulation
RNU6-909P,RPS17P2,coexpression
RNU6-909P,RPL7AP74,regulation
RNU6-909P,MAPK7,regulation
RNU6-909P,RPL21P32,regulation
RNU6-909P,FKBP1C,coexpression
LINC02699,PLAUR,regulation
TBC1D15,H3C12,same_pathway
TBC1D15,PLAUR,coexpression
SUZ12P1,ZNF117,coexpression
SUZ12P1,DPP4,coexpression
SUZ12P1,GJD4,coexpression
SUZ12P1,KCNN3,regulation
SUZ12P1,RNU6-718P,regulation
RAP1A,SUSD5,regulation
RAP1A,RPL7AP40,same_pathway
RAP1A,TOMM22P6,same_pathway
RAP1A,NSF,same_pathway
RAP1A,TRPC6P8,regulation
ERCC2,STMN4,same_pathway
ERCC2,LINC02772,same_pathway
ERCC2,CCDC88C-DT,regulation
ERCC2,MSANTD1,coexpression
ERCC2,FAM240B,regulation
LMX1A-AS1,CARM1P1,regulation
ST3GAL3-AS1,MIR5197,coexpression
EDAR,TNRC6C,same_pathway
EDAR,CCT3,coexpression
EDAR,MAPT-AS1,same_pathway
EDAR,ZNF680P1,same_pathway
EDAR,GABBR1,same_pathway
OR7E59P,COX7B2,same_pathway
OR7E59P,NSF,same_pathway
OR7E59P,RNU6-560P,regulation
OR7E59P,RNU6-1069P,regulation
OR7E59P,SLC16A9,coexpression
OR7E59P,CSMD3,coexpression
OR7E59P,PCDHA3,same_pathway
GABBR1,RBMX2P4,coexpression
TCF15,LINC01647,same_pathway
TCF15,PAX2,same_pathway
TCF15,RNU6-374P,regulation
ANXA10,FANCD2,same_pathway
ANXA10,SETD7,coexpression
ANXA10,MIR1302-7,coexpression
ANXA10,RN7SL691P,coexpression
ANXA10,LINC02494,coexpression
SLC7A9,ANO1,coexpression
FILNC1,DSG2,coexpression
FILNC1,NKPD1,same_pathway
FILNC1,H3C12,regulation
CCDC83,PPID,regulation
CCDC83,ACTG1P22,coexpression
CCDC83,JCAD,same_pathway
CARS1P2,ECHDC3,coexpression
CARS1P2,AGRN,coexpression
CARS1P2,CYP3A52P,same_pathway
CARS1P2,UMAD1,regulation
CARS1P2,LINC02103,same_pathway
FAR2,CNTNAP4,coexpression
RNU6-381P,LINC02615,same_pathway
RNU6-381P,SMARCE1P4,coexpression
RNU6-381P,GJD4,coexpression
RNU6-381P,SLC35C1,coexpression
TACC3,WDR12,same_pathway
TACC3,PAK1,coexpression
TACC3,ADCY8,regulation
